creation_date,sleep_type,deep_sleep,rem_sleep,sleep_duration,sleep_start_time,schedule_variability,restorative_sleep,time_before_sound_sleep,sleep_stability,nights_with_long_awakenings,days_with_naps
2023-12-30,Giraffe,79.71,25.77,6.34,25.91,57.27,74.86,16.91,3.48,0.00,0.00
2024-01-01,Giraffe,79.74,23.99,6.31,27.09,66.18,78.09,21.92,3.42,3.23,3.23
2024-02-01,Giraffe,77.30,24.97,6.15,26.78,102.25,77.96,17.40,3.33,9.68,0.00
2024-03-01,Bear,85.38,24.72,6.19,25.69,51.65,82.92,17.83,3.80,0.00,0.00
2024-04-01,Giraffe,81.71,25.32,6.11,26.69,55.04,81.58,17.34,3.69,3.23,0.00
2024-05-01,Giraffe,78.72,23.00,5.84,27.11,59.37,81.95,15.90,3.45,6.67,0.00
2024-06-01,Giraffe,79.21,24.89,6.00,25.93,83.07,76.28,20.60,3.07,6.45,3.23
2024-07-01,Giraffe,78.97,25.30,6.10,24.76,39.35,78.18,15.98,3.58,0.00,3.45
2024-08-01,Giraffe,82.58,23.96,6.28,25.34,55.65,76.19,19.23,3.61,0.00,3.23
2024-09-01,Bear,86.42,22.61,6.70,26.38,53.59,72.99,23.05,3.81,9.68,3.23
2024-10-01,Bear,85.20,22.93,6.54,25.84,52.09,76.10,23.23,3.50,6.67,3.33
2024-11-01,Giraffe,77.28,23.06,6.23,26.45,64.53,77.00,21.93,3.39,6.90,3.45
